timestamp,event_type,mouse_x,mouse_y,mouse_dx,mouse_dy,mouse_speed,button,pressed,scroll_dx,scroll_dy,key,inter_key_interval,session_id,label
1778356390.5763552,MOUSE_MOVE,1261,818,,,,,,,,,,S00,high
1778356390.583932,MOUSE_MOVE,1273,838,12,20,3078.36,,,,,,,S00,high
1778356390.5913994,MOUSE_MOVE,1282,857,9,19,2815.37,,,,,,,S00,high
1778356390.5988562,MOUSE_MOVE,1294,877,12,20,3127.87,,,,,,,S00,high
1778356390.6062315,MOUSE_MOVE,1306,892,12,15,2604.58,,,,,,,S00,high
1778356390.6135874,MOUSE_MOVE,1314,906,8,14,2192.04,,,,,,,S00,high
1778356390.6212087,MOUSE_MOVE,1322,915,8,9,1579.99,,,,,,,S00,high
1778356390.6284018,MOUSE_MOVE,1329,924,7,9,1585.1,,,,,,,S00,high
1778356390.636161,MOUSE_MOVE,1335,932,6,8,1288.77,,,,,,,S00,high
1778356390.6431673,MOUSE_MOVE,1339,938,4,6,1029.25,,,,,,,S00,high
1778356390.6506312,MOUSE_MOVE,1343,941,4,3,669.89,,,,,,,S00,high
1778356390.6581695,MOUSE_MOVE,1346,943,3,2,478.3,,,,,,,S00,high
1778356390.6654112,MOUSE_MOVE,1348,947,2,4,617.55,,,,,,,S00,high
1778356390.672847,MOUSE_MOVE,1349,949,1,2,300.72,,,,,,,S00,high
1778356390.680294,MOUSE_MOVE,1350,950,1,1,189.9,,,,,,,S00,high
1778356390.6877465,MOUSE_MOVE,1351,952,1,2,300.04,,,,,,,S00,high
1778356390.702533,MOUSE_MOVE,1353,961,2,9,623.51,,,,,,,S00,high
1778356390.7100255,MOUSE_MOVE,1353,966,0,5,667.33,,,,,,,S00,high
1778356390.717317,MOUSE_MOVE,1353,973,0,7,960.01,,,,,,,S00,high
1778356390.7248268,MOUSE_MOVE,1353,978,0,5,665.8,,,,,,,S00,high
1778356390.7322628,MOUSE_MOVE,1353,985,0,7,941.36,,,,,,,S00,high
1778356390.739491,MOUSE_MOVE,1353,992,0,7,968.44,,,,,,,S00,high
1778356390.7470117,MOUSE_MOVE,1353,1001,0,9,1196.7,,,,,,,S00,high
