timestamp,event_type,mouse_x,mouse_y,mouse_dx,mouse_dy,mouse_speed,button,pressed,scroll_dx,scroll_dy,key,inter_key_interval,session_id,label
1778356234.1243544,MOUSE_CLICK,1349,1050,,,,Button.left,True,,,,,S00,low
1778356234.3460233,MOUSE_CLICK,1349,1050,,,,Button.left,False,,,,,S00,low
1778356236.6073885,KEY_PRESS,,,,,,,,,,o,,S00,low
1778356236.6588492,KEY_RELEASE,,,,,,,,,,o,0.0515,S00,low
1778356239.112826,KEY_PRESS,,,,,,,,,,p,2.454,S00,low
1778356239.173745,KEY_RELEASE,,,,,,,,,,p,0.0609,S00,low
1778356241.477813,KEY_PRESS,,,,,,,,,,k,2.3041,S00,low
1778356241.5562391,KEY_RELEASE,,,,,,,,,,k,0.0784,S00,low
1778356243.286702,KEY_PRESS,,,,,,,,,,Key.backspace,1.7305,S00,low
1778356243.3742402,KEY_RELEASE,,,,,,,,,,Key.backspace,0.0875,S00,low
1778356245.7782521,KEY_PRESS,,,,,,,,,,p,2.404,S00,low
1778356245.8478432,KEY_RELEASE,,,,,,,,,,p,0.0696,S00,low
1778356247.2465591,KEY_PRESS,,,,,,,,,,Key.enter,1.3987,S00,low
1778356247.3339105,KEY_RELEASE,,,,,,,,,,Key.enter,0.0874,S00,low
1778356261.7009492,KEY_PRESS,,,,,,,,,,Key.enter,14.367,S00,low
1778356261.7523067,KEY_RELEASE,,,,,,,,,,Key.enter,0.0514,S00,low
1778356262.1204934,KEY_PRESS,,,,,,,,,,Key.enter,0.3682,S00,low
1778356262.2163568,KEY_RELEASE,,,,,,,,,,Key.enter,0.0959,S00,low
1778356262.6104686,KEY_PRESS,,,,,,,,,,Key.enter,0.3941,S00,low
1778356262.688729,KEY_RELEASE,,,,,,,,,,Key.enter,0.0783,S00,low
1778356263.1025639,KEY_PRESS,,,,,,,,,,Key.enter,0.4138,S00,low
1778356263.1806774,KEY_RELEASE,,,,,,,,,,Key.enter,0.0781,S00,low
1778356263.7935698,KEY_PRESS,,,,,,,,,,Key.backspace,0.6129,S00,low
1778356263.8539033,KEY_RELEASE,,,,,,,,,,Key.backspace,0.0603,S00,low
1778356264.1464157,KEY_PRESS,,,,,,,,,,Key.backspace,0.2925,S00,low
1778356264.2069652,KEY_RELEASE,,,,,,,,,,Key.backspace,0.0605,S00,low
1778356264.5563648,KEY_PRESS,,,,,,,,,,Key.backspace,0.3494,S00,low
1778356264.6258876,KEY_RELEASE,,,,,,,,,,Key.backspace,0.0695,S00,low
1778356264.9788992,KEY_PRESS,,,,,,,,,,Key.backspace,0.353,S00,low
1778356265.0210562,KEY_RELEASE,,,,,,,,,,Key.backspace,0.0422,S00,low
1778356266.607379,KEY_PRESS,,,,,,,,,,Key.backspace,1.5863,S00,low
1778356266.677024,KEY_RELEASE,,,,,,,,,,Key.backspace,0.0696,S00,low
1778356280.127177,MOUSE_MOVE,1342,1054,,,,,,,,,,S00,low
1778356280.1345606,MOUSE_MOVE,1329,1064,-13,10,2221.31,,,,,,,S00,low
1778356280.1428723,MOUSE_MOVE,1316,1072,-13,8,1836.48,,,,,,,S00,low
1778356280.1494372,MOUSE_MOVE,1301,1084,-15,12,2926.09,,,,,,,S00,low
1778356280.1566372,MOUSE_MOVE,1286,1090,-15,6,2243.82,,,,,,,S00,low
1778356280.1643944,MOUSE_MOVE,1272,1091,-14,1,1809.38,,,,,,,S00,low
1778356280.1717024,MOUSE_MOVE,1262,1089,-10,-2,1395.46,,,,,,,S00,low
1778356280.17934,MOUSE_MOVE,1250,1087,-12,-2,1592.87,,,,,,,S00,low
1778356280.1866615,MOUSE_MOVE,1237,1090,-13,3,1822.23,,,,,,,S00,low
1778356280.1940436,MOUSE_MOVE,1226,1090,-11,0,1490.08,,,,,,,S00,low
1778356280.202253,MOUSE_MOVE,1214,1089,-12,-1,1466.79,,,,,,,S00,low
1778356280.208744,MOUSE_MOVE,1204,1091,-10,2,1571.12,,,,,,,S00,low
1778356280.2162995,MOUSE_MOVE,1193,1092,-11,1,1461.9,,,,,,,S00,low
1778356280.2237408,MOUSE_MOVE,1183,1091,-10,-1,1350.56,,,,,,,S00,low
1778356280.2309725,MOUSE_MOVE,1177,1088,-6,-3,927.61,,,,,,,S00,low
1778356280.2384248,MOUSE_MOVE,1170,1090,-7,2,976.9,,,,,,,S00,low
1778356280.2457979,MOUSE_MOVE,1162,1090,-8,0,1085.03,,,,,,,S00,low
1778356280.2532222,MOUSE_MOVE,1154,1090,-8,0,1077.53,,,,,,,S00,low
1778356280.2606869,MOUSE_MOVE,1148,1089,-6,-1,814.88,,,,,,,S00,low
1778356280.2681613,MOUSE_MOVE,1142,1090,-6,1,813.81,,,,,,,S00,low
1778356280.275468,MOUSE_MOVE,1135,1088,-7,-2,996.35,,,,,,,S00,low
1778356280.2828841,MOUSE_MOVE,1131,1087,-4,-1,555.97,,,,,,,S00,low
1778356280.2903237,MOUSE_MOVE,1125,1085,-6,-2,850.12,,,,,,,S00,low
1778356280.2978246,MOUSE_MOVE,1122,1085,-3,0,399.95,,,,,,,S00,low
1778356280.3052926,MOUSE_MOVE,1120,1081,-2,-4,598.84,,,,,,,S00,low
1778356280.3124459,MOUSE_MOVE,1118,1080,-2,-1,312.59,,,,,,,S00,low
